Hindi,English
में,In
है,is
हैं,Huh
नहीं,No
लिए,for
गया,Gone
तथा,And
अपने,Ours
कुछ,some
साथ,with
होता,Would
था,Was
दिया,gave
हुए,The
कोई,someone
रूप,form
से,From
मैं,I
रहा,Stayed
हुआ,happen
बात,talk
कहा,said
समय,Time
क्या,What
अपनी,mine
होती,The
प्रकार,Type
बहुत,very
तरह,Kind
बाद,after
फिर,Again
रहे,are
द्वारा,By
अधिक,more
रही,doing
होने,Having
एवं,And
हुई,Hui
थे,Were
उनके,Their
थी,was
वाले,With
चाहिए,needed
दिन,day
लेकिन,but
काम,work
हूँ,I
होते,Are
इसके,Its
उन्हें,them
गये,Added
कभी,sometimes
आदि,etc
लोग,People
बार,times
यहाँ,here
दोनों,Both
उन्होंने,They
कार्य,Work
पास,near
वहाँ,there
भारत,India
लिया,took
प्राप्त,Received
उनकी,Their
लोगों,People
गयी,Added
लगा,felt
अन्य,other
होगा,Will happen
इसी,Similar
देश,country
यदि,If
सभी,All
नाम,Name
वर्ष,The year
ऐसा,Like this
विकास,development
अपना,ours
ऐसे,So
दूसरे,Others
हाथ,hand
भाषा,language
मेरे,my
मैंने,I
तुम,you
बीच,between
वाली,By
बड़े,Large
प्रति,Per
व्यक्ति,Personal
उनका,Their
लिये,To
इसलिए,so
तीन,three
इसका,its
ऐसी,Such
विशेष,special
बड़ी,Great
अथवा,Or